Seq,UTC Date,Kurukshetra adjusted Date,Julian Days,year,month,day,hour,min,sec,seperation angle
1,-5000-10-07T03:38:09Z,-5000-10-07T09:08:09Z,-104912.348,-5000,10,7,3,38,8.783313241,0.371306403
2,-4967-01-10T03:01:43Z,-4967-01-10T08:31:43Z,-93129.37331,-4967,1,10,3,1,43.48651498,0.42953607
3,-4946-11-09T03:46:35Z,-4946-11-09T09:16:35Z,-85156.34217,-4946,11,9,3,46,34.68650487,0.376383919
4,-4921-01-12T10:41:04Z,-4921-01-12T16:11:04Z,-76326.05433,-4921,1,12,10,41,3.604326546,0.327492307
5,-4914-02-22T10:43:36Z,-4914-02-22T16:13:36Z,-73728.05257,-4914,2,22,10,43,35.88739213,0.394092104
6,-4892-12-11T03:23:24Z,-4892-12-11T08:53:24Z,-65400.35826,-4892,12,11,3,23,23.92807326,0.467396608
7,-4879-09-20T09:27:29Z,-4879-09-20T14:57:29Z,-60734.10543,-4879,9,20,9,27,28.72276552,0.190830139
8,-4874-01-02T10:51:47Z,-4874-01-02T16:21:47Z,-59169.04688,-4874,1,2,10,51,47.34797262,0.169210268
9,-4867-02-13T09:52:18Z,-4867-02-13T15:22:18Z,-56570.08819,-4867,2,13,9,52,18.46761896,0.36034325
10,-4829-08-09T08:57:28Z,-4829-08-09T14:27:28Z,-42514.12627,-4829,8,9,8,57,27.83887602,0.478113975
11,-4825-10-23T10:30:10Z,-4825-10-23T16:00:10Z,-40978.0619,-4825,10,23,10,30,9.705487615,0.320772177
12,-4798-11-23T07:07:57Z,-4798-11-23T12:37:57Z,-31085.20232,-4798,11,23,7,7,56.98728195,0.425550475
13,-4794-09-10T09:56:38Z,-4794-09-10T15:26:38Z,-29698.08518,-4794,9,10,9,56,38.02614088,0.340289792
14,-4785-09-01T08:50:33Z,-4785-09-01T14:20:33Z,-26420.13107,-4785,9,1,8,50,33.39587121,0.200183158
15,-4775-09-10T10:32:01Z,-4775-09-10T16:02:01Z,-22758.06061,-4775,9,10,10,32,1.021393023,0.474729116
16,-4763-06-30T09:55:49Z,-4763-06-30T15:25:49Z,-18447.08576,-4763,6,30,9,55,48.53543794,0.262907717
17,-4744-12-25T07:15:43Z,-4744-12-25T12:45:43Z,-11329.19693,-4744,12,25,7,15,43.04005229,0.492103483
18,-4735-07-20T08:52:16Z,-4735-07-20T14:22:16Z,-8200.129887,-4735,7,20,8,52,15.54852322,0.339351289
19,-4709-08-02T07:24:20Z,-4709-08-02T12:54:20Z,1308.809051,-4709,8,2,7,24,19.84642502,0.497966836
20,-4704-11-03T06:08:53Z,-4704-11-03T11:38:53Z,3228.756653,-4704,11,3,6,8,52.59677115,0.4737097
21,-4696-06-10T10:07:24Z,-4696-06-10T15:37:24Z,6004.922289,-4696,6,10,10,7,23.54578112,0.214448507
22,-4693-04-09T08:52:05Z,-4693-04-09T14:22:05Z,7037.869987,-4693,4,9,8,52,4.70882659,0.302368015
23,-4687-06-01T08:15:26Z,-4687-06-01T13:45:26Z,9282.844541,-4687,6,1,8,15,26.16406124,0.440856748
24,-4681-08-22T08:21:54Z,-4681-08-22T13:51:54Z,11555.84902,-4681,8,22,8,21,53.52485198,0.17863055
25,-4669-12-06T08:55:08Z,-4669-12-06T14:25:08Z,16044.87211,-4669,12,6,8,55,7.963301201,0.495248367
26,-4661-01-17T09:22:28Z,-4661-01-17T14:52:28Z,18643.8911,-4661,1,17,9,22,28.43074648,0.210286593
27,-4656-04-19T10:50:23Z,-4656-04-19T16:20:23Z,20562.95215,-4656,4,19,10,50,23.23027452,0.241957481
28,-4655-09-03T06:32:43Z,-4655-09-03T12:02:43Z,21064.77321,-4655,9,3,6,32,43.07087818,0.455617666
29,-4650-12-06T08:26:50Z,-4650-12-06T13:56:50Z,22984.85246,-4650,12,6,8,26,49.9716083,0.173496944
30,-4647-04-10T10:39:23Z,-4647-04-10T16:09:23Z,23840.94451,-4647,4,10,10,39,23.38597618,0.250588291
31,-4642-07-13T08:09:23Z,-4642-07-13T13:39:23Z,25760.84034,-4642,7,13,8,9,23.14043765,0.425338859
